logFC	AveExpr	t	P.Value	adj.P.Val	B
ZNF827|152485	0.874791453636185	3.07756543607919	3.16199932792068	0.00176296915230114	1	-1.34607201051405
PPP1R7|5510	-0.553626495798659	6.36988283123193	-3.16199075230953	0.00176301902660789	1	-1.42971278418952
SOD1|6647	-0.60434885328127	7.76466049479619	-3.15995082661743	0.00177492003690917	1	-1.44478367895129
ETV3|2117	1.133770320412	2.09115284689131	3.154796099979	0.00180532479192836	1	-1.34665849062401
CRAMP1L|57585	0.594794877963553	4.92159468425464	3.15285324459494	0.00181690900933844	1	-1.44574110441492
KHNYN|23351	0.468249812918999	5.91236530411538	3.15148274942199	0.0018251218422319	1	-1.46755200191321
ILDR2|387597	1.76562757808379	-3.50922270470192	3.15050113410511	0.00183102535285648	1	-1.62750093842708
KLF7|8609	0.96288072853423	0.985111436732593	3.14829329410129	0.00184436803530641	1	-1.40629845393318
BLCAP|10904	-0.634716821692403	6.32892246448666	-3.14383888009067	0.0018715614769735	1	-1.47974253016121
NRIP3|56675	1.30329165047978	0.721479203903585	3.14240210677054	0.00188041146390764	1	-1.41869625810992
KCNH8|131096	2.21916672626914	-2.76732185517475	3.13983703905046	0.00189630754167421	1	-1.59938175065957
RNF38|152006	0.587816129982249	4.89969157415297	3.13475949582265	0.00192814054975786	1	-1.49648189169601
MAP3K9|4293	0.819981334344076	2.05646495932508	3.13427257078063	0.00193121906325982	1	-1.40502491845946
NDST1|3340	0.648383287455364	6.47333165212547	3.13326142483016	0.00193762639796881	1	-1.52230754442996
KIAA1432|57589	0.524093854197973	3.95524206095156	3.13309801517858	0.00193866371821934	1	-1.45502310041702
PDGFB|5155	0.881620558849598	4.41978157894308	3.13208302074552	0.00194511837410006	1	-1.49761146164065
DOCK6|57572	0.739921865289643	5.52716045986638	3.12400976371894	0.00199716991767577	1	-1.54526257012988
MMS19|64210	0.545797859851697	6.15026209164819	3.12082724914702	0.00201804002173911	1	-1.55780598381755
LDLRAD3|143458	1.02523500456889	3.47854821498637	3.11908007244572	0.00202958298436837	1	-1.4942389431301
ETV4|2118	1.73318119021773	4.35943714623179	3.11608506142344	0.00204951182721332	1	-1.56206888501809
VGF|7425	2.25764262539272	-1.05756817511506	3.11216731772407	0.00207585323682261	1	-1.55437607645945
EDEM2|55741	-0.588919821609299	5.66652075766508	-3.10505646339515	0.00212446361399103	1	-1.57059575147312
DICER1|23405	0.708698796993811	5.55672890773927	3.10292404883773	0.00213924436977584	1	-1.60533977983315
LOC283922|283922	0.797891775082099	2.19583400817697	3.09900484546184	0.00216665785217016	1	-1.49741091619441
EML4|27436	0.614159592182196	6.1892644935505	3.09829102135934	0.00217168555164521	1	-1.62248387827799
ST3GAL2|6483	0.65937969401562	4.4867091129491	3.09778300908757	0.00217527020156436	1	-1.58884594347045
